recipe,difficulty,page,minutes,section,video_title,video_date,video_src,video_thumbnail
Pineapple And Pecan Upside-Down Cake,3.875,73,90,Loaf Cakes and Single-Layer Cakes,The Best Pineapple Upside Down Cake with Claire Saffitz (New Book Reveal),"Aug 18, 2022",https://www.youtube.com/watch?v=XRtqmXRDkvQ,https://i.ytimg.com/vi/XRtqmXRDkvQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBkla24etfKH912vJgIWsb07pAcHQ
Pistachio Linzer Tart,2.285714286,85,105,Pies and Tarts,,,,
Pistacho Pinwheels,2.857142857,141,120,Bars and Cookies,,,,
Plum Galette With Polenta And Pistachios,2.357142857,81,120,Pies and Tarts,,,,
Poppy Seed Almond Cake,1.428571429,41,134,Loaf Cakes and Single-Layer Cakes,Claire Saffitz Makes Poppy Seed Almond Cake | Dessert Person,"Jan 7, 2021",https://www.youtube.com/watch?v=IBlRFuMjvZE,https://i.ytimg.com/vi/IBlRFuMjvZE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAdBQwylIQUPfJuJPaEXXFJyXJTrw
Preserved Lemon Meringue Cake,4.571428571,206,195,Layer Cakes and Fancy Desserts,,,,
Pull-Apart Sour Cream And Chive Rolls,4.285714286,313,240,Breads and Savory Baking,The Best Homemade Dinner Rolls With Claire Saffitz | Dessert Person,"May 26, 2022",https://www.youtube.com/watch?v=Wvk135WOAg0,https://i.ytimg.com/vi/Wvk135WOAg0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAx8jsNsevS6vKOlwJ7bdmsbnW8CA
Quince And Almond Tart With Rose,3.3125,115,150,Pies and Tarts,,,,
Rhubarb Cake,2.642857143,56,134,Loaf Cakes and Single-Layer Cakes,Claire Saffitz Makes Rhubarb Cake | Dessert Person,"Jun 17, 2021",https://www.youtube.com/watch?v=WsQOYaSauMk,https://i.ytimg.com/vi/WsQOYaSauMk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAHHVF032zbmazFhuY5dqFgQlDWog
Rice Pudding Cake With Mango Caramel,2.714285714,59,106,Loaf Cakes and Single-Layer Cakes,,,,
Ricotta And Broccoli Rabe Pie,3.125,305,135,Breads and Savory Baking,,,,
Ricotta Cake With Kumquat Marmalade,3.9375,61,120,Loaf Cakes and Single-Layer Cakes,,,,
Salted Halvah Blondies,1.714285714,128,49,Bars and Cookies,,,,
Salty Nut Tart With Rosemary,2.428571429,87,75,Pies and Tarts,,,,
Seedy Maple Breakfast Muffins,1.857142857,216,55,Breakfast and Brunch,Claire Saffitz Makes Breakfast Muffins | Dessert Person,"Apr 8, 2021",https://www.youtube.com/watch?v=dxclTmGRETQ,https://i.ytimg.com/vi/dxclTmGRETQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD2hxr4kut1qmPbH9oJjh5vTLnKbw
Soft And Crispy Focaccia,3.625,73,226,Breads and Savory Baking,Claire Saffitz Makes Soft & Crispy Focaccia | Dessert Person,"Dec 3, 2020",https://www.youtube.com/watch?v=NGnMrM9qDtE,https://i.ytimg.com/vi/NGnMrM9qDtE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLClXJMwuIkZJC6cnaLpK-qrxWLapg
Sour Cherry Pie,3.8125,111,174,Pies and Tarts,Claire Saffitz Makes Cherry Pie | Dessert Person,"Sep 16, 2021",https://www.youtube.com/watch?v=-srudZAM3U4,https://i.ytimg.com/vi/-srudZAM3U4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCHwXZw-RITJza9GViZ4fWoOTQlSw
Speculoos Babka,3.75,293,174,Breakfast and Brunch,,,,
Spelt Croissants,5.285714286,253,960,Breakfast and Brunch,,,,
Spiced Honey And Rye Cake,1.428571429,37,90,Loaf Cakes and Single-Layer Cakes,,,,
Spiced Persimmon Cake,2.071428571,45,120,Loaf Cakes and Single-Layer Cakes,,,,
St. Louis Gooey Butter Cake,3.125,243,660,Breakfast and Brunch,,,,
Strawberry Cornmeal Layer Cake,3.05,177,168,Layer Cakes and Fancy Desserts,The Ultimate Strawberry Layer Cake With Claire Saffitz | Dessert Person,"Jul 7, 2022",https://www.youtube.com/watch?v=6vta9XNsQss,https://i.ytimg.com/vi/6vta9XNsQss/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB3WWnS3CFqnGBYP1AJcZhoOfgNZA
Strawberry-Almond Bostock,3.375,232,75,Breakfast and Brunch,Delicious French Pastry Bostock With Claire Saffitz | Dessert Person,"Jul 14, 2022",https://www.youtube.com/watch?v=ecHJAQyGRx4,https://i.ytimg.com/vi/ecHJAQyGRx4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD9vJ7P1X-gG4f8v0SRHsfMkpRWNg
Strawberry-Rhubarb Pavlovas With Rose,3.875,187,240,Layer Cakes and Fancy Desserts,How To Make MERINGUE COOKIES At Home | Dessert People,"Jul 1, 2021",https://www.youtube.com/watch?v=e-6Hv_e9Nrw,https://i.ytimg.com/vi/e-6Hv_e9Nrw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD3vPWovv6FA5yqONGUsJwIIp380A
Tarte Tropezienne,3.44,189,132,Layer Cakes and Fancy Desserts,,,,
Thrice-Baked Rye Cookies,3.5625,157,174,Bars and Cookies,,,,
Tomato Tart With Spices And Herby Feta,2.571428571,273,120,Breads and Savory Baking,,,,
Walnut-Maple Buns,3.625,245,138,Breakfast and Brunch,Claire Saffitz Makes Walnut Maple Sticky Buns | Dessert Person,"Mar 18, 2021",https://www.youtube.com/watch?v=JlzmsTiOJnU,https://i.ytimg.com/vi/JlzmsTiOJnU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDdsx4h5w5ZBI3zLdUuLDg3HurPfw
